experiment,parameter,accuracy,precision,recall,f1,roc_auc,final_train_loss,final_val_loss,weight_norm
learning_rate,0.001,0.8333333333333334,0.7604166666666666,0.9733333333333334,0.8538011695906432,0.9061333333333333,0.5825726359569028,0.5915236010652062,0.3431784774621715
learning_rate,0.01,0.8533333333333334,0.7912087912087912,0.96,0.8674698795180723,0.9173333333333333,0.3604341406976368,0.4021344311399609,1.722767839589777
learning_rate,0.5,0.8666666666666667,0.8089887640449438,0.96,0.8780487804878049,0.9057777777777778,0.29920793440905347,0.4002973725700703,3.8839265773041722
learning_rate,1.0,0.8666666666666667,0.8089887640449438,0.96,0.8780487804878049,0.9025777777777778,0.29995028625283227,0.4096169064193834,3.9090534484121795
batch_size,1,0.8666666666666667,0.8021978021978022,0.9733333333333334,0.8795180722891567,0.8919111111111111,0.30524407479643223,0.4380118060271848,3.994004450884053
batch_size,16,0.8666666666666667,0.8089887640449438,0.96,0.8780487804878049,0.9070222222222222,0.29920973457747674,0.39419407711336985,3.783594244290844
batch_size,64,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9152,0.3042026430092974,0.376478345118913,3.130606754361522
batch_size,256,0.8666666666666667,0.8089887640449438,0.96,0.8780487804878049,0.9173333333333333,0.32902060869509914,0.3824302755833821,2.2436526795550393
initialization,zero,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9112888888888889,0.30023814117691594,0.3850827830263326,3.5167143158049092
initialization,normal,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9112888888888889,0.30023909453474734,0.38507860196615057,3.5165635582878987
initialization,wide_normal,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9128888888888889,0.3008482592411563,0.3828301206077607,3.4313625464551714
loss_function,binary_cross_entropy,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9112888888888889,0.30023909453474734,0.38507860196615057,3.5165635582878987
loss_function,hinge,0.86,0.78125,1.0,0.8771929824561403,0.8496,0.298438671017668,0.40913818533156027,1.8098405819367267
l2_regularization,0.0,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9112888888888889,0.30023909453474734,0.38507860196615057,3.5165635582878987
l2_regularization,0.001,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9127111111111111,0.3068168107636352,0.38825114310867026,3.3962063338761173
l2_regularization,0.01,0.8666666666666667,0.8089887640449438,0.96,0.8780487804878049,0.9148444444444445,0.34891227666601504,0.4104920904419669,2.6712425937236874
l2_regularization,0.1,0.8533333333333334,0.7912087912087912,0.96,0.8674698795180723,0.9171555555555555,0.4851914804980888,0.513151106160908,1.2451481267435962
momentum,0.0,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9112888888888889,0.30023909453474734,0.38507860196615057,3.5165635582878987
momentum,0.5,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9077333333333333,0.2992042906057322,0.39241616192166867,3.78440725515827
momentum,0.9,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.9095111111111112,0.2995210156921088,0.38828478764684543,3.863178300849144
momentum,0.99,0.86,0.8068181818181818,0.9466666666666667,0.871165644171779,0.912,0.3016010941053031,0.3785905161153346,3.842138276133844
